gold_id,latitude,longitude
Go0001894,30.325278,30.407222
Go0001897,34.299366,-79.876714
Go0001903,66.780217,-18.480835
Go0001905,28.083612,-111.408692
Go0001908,23.366667,-44.933333
Go0001915,36.01,-84.269
Go0001917,37.728543,-89.215708
Go0001918,-1.935,36.253
Go0001919,9.833,-104.3
Go0001922,40.491816,-74.322087
Go0001924,48.85,2.35
Go0001926,25.066127,-77.339025
Go0001927,40.964972,-5.663047
Go0001929,-5.05,11.783
Go0001930,18.088189,-67.147095
Go0001932,45.64,9.002
Go0001933,43.1,-89.4
Go0001934,35.658503,139.752173
Go0001967,51.455718,-2.588654
Go0001972,-37.800453,144.942169
Go0001973,53.553407,9.992196
Go0001995,51.77,5.53
Go0002007,44.376262,-110.690383
Go0002088,44.636707,-110.438919
Go0002091,17.972949,-67.047164
Go0002101,36.548,-82.561
Go0002102,44.376262,-110.690383
Go0002103,39.75,-107.62
Go0002105,45.77,-111.021591
Go0002111,37.73,-25.3
Go0002112,37.916192,139.036413
Go0002121,52.11,6.05
Go0002122,51.416,79.483
Go0002198,50.452258,-104.605694
Go0002201,43.255,76.912
Go0002212,35.493,-118.85
Go0002213,35.493,-118.85
Go0002229,35.985007,-121.245346
Go0002235,42.733621,-84.546582
Go0002239,45.394173,5.259637
Go0002242,37.87,-122.27
Go0002244,47.9615,16.5171
Go0002245,48.6911,6.1823
Go0002249,40.437746,-74.20347
Go0002255,37.566535,126.977969
Go0002256,39.538845,-107.783363
Go0002258,47.800499,13.04441
Go0002260,14.7031,-17.4221
Go0002265,52.38,9.82
Go0002266,53.869,8.693
Go0002268,42.759,-84.399
Go0002270,62.520684,139.053039
Go0002271,52.637993,-1.640747
Go0002272,4.6,74.08
Go0002273,-27.32,148.72
Go0002275,27.27,127.17
Go0002289,44.088769,-62.738342
Go0002293,44.7532,-110.7227
Go0002294,45.360542,11.789381
Go0002298,40.668,-122.527
Go0002309,-68.3481,78.0432
Go0002315,45.3453,34.49973
Go0002317,38.4154,14.9609
Go0002325,36.674,24.517
Go0002333,47.607503,-122.343002
Go0002334,52.45785,158.196201
Go0002335,52.45785,158.196201
Go0002336,52.45785,158.196201
Go0002338,40.5126,-121.4347
Go0002339,40.515313,-121.433315
Go0002342,44.699641,-110.745721
Go0002343,44.6184,-110.1025
Go0002444,29.32,-82.23
Go0002779,38.25222,140.335602
Go0002833,33.378561,126.566191
Go0002884,53.83,-3.05
Go0002963,9.542534,138.11013
Go0003084,43.07,-89.4
Go0003218,-4.23,152.2
Go0003219,25.13,-80.41
Go0003221,34.856,138.938
Go0003222,-38.131667,176.241944
Go0003246,43.849784,-69.6266
Go0003249,-23.821424,31.445618
Go0003265,53.37,-1.5
Go0003395,30.418502,30.333323
Go0003396,52.504582,82.999935
Go0003403,42.44,-76.5
Go0003442,46.26,34.86
Go0003444,4.63,-74.08
Go0003484,27.87,-110.81
Go0003485,-0.307616,-20.566842
Go0003487,14.75,-44.983
Go0003489,23.36,-44.93
Go0003490,65.05,-16.8
Go0003492,21.37,38.07
Go0003498,39.281,-76.29
Go0003500,-6.247447,107.148452
Go0003513,29.4,-82.3
Go0003524,39.348317,-107.859192
Go0003527,44.376262,-110.690383
Go0003528,44.376262,-110.690383
Go0003566,57.162143,-2.719417
Go0003611,41.15,-112.67
Go0003612,41.177,-112.502
Go0003614,38.132591,15.05422
Go0003617,40.811936,14.074832
Go0003619,30.437189,30.334396
Go0003640,43.849784,-69.6266
Go0003647,-1.944,36.252
Go0003648,12.8,-103.93
Go0003651,-1.944676,36.252237
Go0003658,64.000879,-21.200366
Go0003678,51.97,5.665
Go0003680,51.333265,94.52413
Go0003681,47.661279,9.172061
Go0003682,54.5,159.97
Go0003685,-25.316667,70.033355
Go0003687,38.743434,140.71658
Go0003688,44.806,-110.448
Go0003689,60.886314,3.611503
Go0003690,37.946,-25.49
Go0003691,35.447,139.642
Go0003692,36.266667,-33.9
Go0003696,63.879,-22.434
Go0003803,-12.353811,130.882602
Go0003857,35.011636,135.768029
Go0003890,47.57,-122.64
Go0003892,40.382709,9.012008
Go0003901,47.366667,8.55
Go0003903,53.998709,112.891865
Go0003916,54.37,10.2
Go0003931,43.078418,-89.386482
Go0003955,-31.53,116.947
Go0003957,-31.530408,116.947875
Go0003959,54.520524,159.968948
Go0003960,64.8631,-19.52906
Go0004027,37.87,-122.27
Go0004068,0,0
Go0004075,0,0
Go0004076,0,0
Go0004107,32.248,-110.926
Go0004171,0,0
Go0004181,54.10114,13.3885
Go0004223,43.7555,-89.055234
Go0004249,47.23,8.63
Go0004276,44.603028,-110.865194
Go0004312,30.581,-91.244
Go0004315,56.115502,15.537785
Go0004317,44.376262,-110.690383
Go0004323,39.537,141.121
Go0004358,47.633,-122.256
Go0004360,47.633,-122.256
Go0004362,48.7,-3.97
Go0004363,39.6197,-118.94594
Go0004364,47.67,9.16
Go0004365,11.35,142.41
Go0004367,-2.042025,29.407518
Go0004375,52.104217,6.060133
Go0004376,43.009,40.989
Go0004377,52.011,4.36
Go0004404,58.393,19.895997
Go0004406,-33.5055,-56.8894
Go0004418,12.25,109.199
Go0004422,47.633,-122.256
Go0004423,48.826,154.125
Go0004424,-38.139,176.247
Go0004497,58.3938,19.895997
Go0004498,36.829,138.217
Go0004501,10.131,-83.518
Go0004503,48.624712,2.430844
Go0004566,27.78,126.88
Go0004684,26.75602,94.20945
Go0004685,45.423,-75.697
Go0004687,32.84,-117.258
Go0004742,44.9369,-91.3928
Go0004779,12.230558,109.201183
Go0004780,64.27951,-20.36138
Go0004786,-22.16889,-176.60028
Go0004815,38.25222,140.335602
Go0004820,37.87,-122.27
Go0004821,43.32,-90.82
Go0004824,23.133333,-82.366667
Go0004856,-68.55,78.25
Go0004857,32.927838,-112.304867
Go0004858,32.927838,-112.304867
Go0004860,51.481,-3.18
Go0004861,-77.613983,163.184624
Go0004863,43.07,-89.4
Go0004895,32.349568,-64.713955
Go0004903,42.697144,-84.378797
Go0004925,32.927,-112.304
Go0004927,-24.6,-69.53
Go0004930,32.972495,-112.302704
Go0004943,44.03,-116.96
Go0004972,52.885,-163
Go0005027,32.349568,-64.713465
Go0005039,42.697144,-84.378797
Go0005042,43.0210892,-76.4778834
Go0005066,52.202,0.131
Go0005073,41.526357,-70.668322
Go0005078,36.123175,-97.069644
Go0005098,37.74,-122.46
Go0005139,35.66,139.33
Go0005154,36.350412,127.384548
Go0005156,43.064615,141.346807
Go0005157,30.417,-91.167
Go0005158,11.162815,41.780548
Go0005159,-24.913333,145.138333
Go0005169,30.873351,120.124512
Go0005241,51.503376,-0.087329
Go0005333,31.5,35.49
Go0005334,-2.343556,36.045844
Go0005336,33.974,-83.419
Go0005409,43.07,-89.4
Go0005435,40.19,141.78
