gold_id,latitude,longitude
Gp0001809,37.147034,24.518901
Gp0001811,-32.533333,-57
Gp0001823,41.526357,-70.668322
Gp0001840,24.14,-110.31
Gp0001894,30.325278,30.407222
Gp0001897,34.299366,-79.876714
Gp0001903,66.780217,-18.480835
Gp0001905,28.083612,-111.408692
Gp0001908,23.366667,-44.933333
Gp0001915,36.01,-84.269
Gp0001917,37.728543,-89.215708
Gp0001918,-1.935,36.253
Gp0001919,9.833,-104.3
Gp0001922,40.491816,-74.322087
Gp0001924,48.85,2.35
Gp0001926,25.066127,-77.339025
Gp0001927,40.964972,-5.663047
Gp0001929,-5.05,11.783
Gp0001930,18.088189,-67.147095
Gp0001932,45.64,9.002
Gp0001933,43.1,-89.4
Gp0001934,35.658503,139.752173
Gp0001967,51.455718,-2.588654
Gp0001972,-37.800453,144.942169
Gp0001973,53.553407,9.992196
Gp0001995,51.77,5.53
Gp0002007,44.376262,-110.690383
Gp0002088,44.636707,-110.438919
Gp0002101,36.548,-82.561
Gp0002102,44.376262,-110.690383
Gp0002103,39.75,-107.62
Gp0002111,37.73,-25.3
Gp0002112,37.916192,139.036413
Gp0002121,52.11,6.05
Gp0002122,51.416,79.483
Gp0002198,50.452258,-104.605694
Gp0002201,43.255,76.912
Gp0002212,35.493,-118.85
Gp0002213,35.493,-118.85
Gp0002229,35.985007,-121.245346
Gp0002235,42.733621,-84.546582
Gp0002239,45.394173,5.259637
Gp0002242,37.87,-122.27
Gp0002244,47.9615,16.5171
Gp0002245,48.6911,6.1823
Gp0002249,40.437746,-74.20347
Gp0002255,37.566535,126.977969
Gp0002256,39.538845,-107.783363
Gp0002258,47.800499,13.04441
Gp0002260,14.7031,-17.4221
Gp0002265,52.38,9.82
Gp0002266,53.869,8.693
Gp0002268,42.759,-84.399
Gp0002270,62.520684,139.053039
Gp0002271,52.637993,-1.640747
Gp0002272,4.6,74.08
Gp0002273,-27.32,148.72
Gp0002274,52.2,5.5
Gp0002275,27.27,127.17
Gp0002289,44.088769,-62.738342
Gp0002293,44.7532,-110.7227
Gp0002294,45.360542,11.789381
Gp0002298,40.668,-122.527
Gp0002309,-68.3481,78.0432
Gp0002315,45.3453,34.49973
Gp0002317,38.4154,14.9609
Gp0002325,36.674,24.517
Gp0002333,47.607503,-122.343002
Gp0002334,52.45785,158.196201
Gp0002335,52.45785,158.196201
Gp0002336,52.45785,158.196201
Gp0002338,40.5126,-121.4347
Gp0002339,40.515313,-121.433315
Gp0002342,44.699641,-110.745721
Gp0002343,44.6184,-110.1025
Gp0002444,29.32,-82.23
Gp0002772,-23.273646,151.950073
Gp0002779,38.25222,140.335602
Gp0002833,33.378561,126.566191
Gp0002884,53.83,-3.05
Gp0002963,9.542534,138.11013
Gp0003084,43.07,-89.4
Gp0003218,-4.23,152.2
Gp0003219,25.13,-80.41
Gp0003221,34.856,138.938
Gp0003222,-38.131667,176.241944
Gp0003246,43.849784,-69.6266
Gp0003249,-23.821424,31.445618
Gp0003265,53.37,-1.5
Gp0003395,30.418502,30.333323
Gp0003396,52.504582,82.999935
Gp0003403,42.44,-76.5
Gp0003442,46.26,34.86
Gp0003444,4.63,-74.08
Gp0003484,27.87,-110.81
Gp0003485,-0.307616,-20.566842
Gp0003487,14.75,-44.983
Gp0003489,23.36,-44.93
Gp0003490,65.05,-16.8
Gp0003492,21.37,38.07
Gp0003498,39.281,-76.29
Gp0003500,-6.247447,107.148452
Gp0003513,29.4,-82.3
Gp0003522,44.603028,-110.865194
Gp0003524,39.348317,-107.859192
Gp0003527,44.376262,-110.690383
Gp0003528,44.376262,-110.690383
Gp0003566,57.162143,-2.719417
Gp0003611,41.15,-112.67
Gp0003612,41.177,-112.502
Gp0003614,38.132591,15.05422
Gp0003617,40.811936,14.074832
Gp0003619,30.437189,30.334396
Gp0003640,43.849784,-69.6266
Gp0003647,-1.944,36.252
Gp0003648,12.8,-103.93
Gp0003651,-1.944676,36.252237
Gp0003658,64.000879,-21.200366
Gp0003678,51.97,5.665
Gp0003680,51.333265,94.52413
Gp0003681,47.661279,9.172061
Gp0003682,54.5,159.97
Gp0003685,-25.316667,70.033355
Gp0003687,38.743434,140.71658
Gp0003688,44.806,-110.448
Gp0003689,60.886314,3.611503
Gp0003690,37.946,-25.49
Gp0003691,35.447,139.642
Gp0003692,36.266667,-33.9
Gp0003803,-12.353811,130.882602
Gp0003857,35.011636,135.768029
Gp0003890,47.57,-122.64
Gp0003892,40.382709,9.012008
Gp0003903,53.998709,112.891865
Gp0003916,54.37,10.2
Gp0003931,43.078418,-89.386482
Gp0003955,-31.53,116.947
Gp0003957,-31.530408,116.947875
Gp0003959,54.520524,159.968948
Gp0003960,64.8631,-19.52906
Gp0004027,37.87,-122.27
Gp0004068,0,0
Gp0004075,0,0
Gp0004076,0,0
Gp0004107,32.248,-110.926
Gp0004171,0,0
Gp0004181,54.10114,13.3885
Gp0004249,47.23,8.63
Gp0004312,30.581,-91.244
Gp0004315,56.115502,15.537785
Gp0004317,44.376262,-110.690383
Gp0004323,39.537,141.121
Gp0004358,47.633,-122.256
Gp0004360,47.633,-122.256
Gp0004362,48.7,-3.97
Gp0004363,39.6197,-118.94594
Gp0004364,47.67,9.16
Gp0004365,11.35,142.41
Gp0004367,-2.042025,29.407518
Gp0004375,52.104217,6.060133
Gp0004376,43.009,40.989
Gp0004377,52.011,4.36
Gp0004404,58.393,19.895997
Gp0004406,-33.5055,-56.8894
Gp0004418,12.25,109.199
Gp0004422,47.633,-122.256
Gp0004423,48.826,154.125
Gp0004424,-38.139,176.247
Gp0004497,58.3938,19.895997
Gp0004498,36.829,138.217
Gp0004501,10.131,-83.518
Gp0004503,48.624712,2.430844
Gp0004566,27.78,126.88
Gp0004684,26.75602,94.20945
Gp0004685,45.423,-75.697
Gp0004687,32.84,-117.258
Gp0004742,44.9369,-91.3928
Gp0004779,12.230558,109.201183
Gp0004786,-22.16889,-176.60028
Gp0004815,38.25222,140.335602
Gp0004820,37.87,-122.27
Gp0004821,43.32,-90.82
Gp0004824,23.133333,-82.366667
Gp0004856,-68.55,78.25
Gp0004857,32.927838,-112.304867
Gp0004858,32.927838,-112.304867
Gp0004860,51.481,-3.18
Gp0004861,-77.613983,163.184624
Gp0004863,43.07,-89.4
Gp0004895,32.349568,-64.713955
Gp0004903,42.697144,-84.378797
Gp0004925,32.927,-112.304
Gp0004927,-24.6,-69.53
Gp0004943,44.03,-116.96
Gp0005027,32.349568,-64.713465
Gp0005039,42.697144,-84.378797
Gp0005042,43.0210892,-76.4778834
Gp0005066,52.202,0.131
Gp0005073,41.526357,-70.668322
Gp0005098,37.74,-122.46
Gp0005139,35.66,139.33
Gp0005154,36.350412,127.384548
Gp0005156,43.064615,141.346807
Gp0005157,30.417,-91.167
Gp0005158,11.162815,41.780548
Gp0005159,-24.913333,145.138333
Gp0005333,31.5,35.49
Gp0005334,-2.343556,36.045844
Gp0005336,33.974,-83.419
Gp0005409,43.07,-89.4
Gp0005435,40.19,141.78
Gp0005437,31.1,35.383333
Gp0005490,44.76,-110.74
Gp0005626,38,-123.01
Gp0005636,37.77,-122.22
Gp0005694,57.243,-2.686
Gp0005758,36.44356,-117.951479
Gp0005840,57.333333,20.05
Gp0005848,21.462738,-157.810321
Gp0005849,37.825278,-122.296389
Gp0005857,51.533,9.933
Gp0005858,48.139,11.58
Gp0005859,41.503,-5.746
Gp0005880,51.96,5.67
Gp0005888,22.760875,120.637579
Gp0005919,52.17,10.55
Gp0005931,37.871,-122.272
Gp0005935,28.063861,89.682599
Gp0005967,7.528,81.357
Gp0005970,59.332,18.064
Gp0006004,51.01,3.74
Gp0006014,40.651893,-119.376659
Gp0006015,41.051289,-119.02879
Gp0006045,69.05,20.833333
Gp0006046,69.0096,20.9385
Gp0006055,51.513871,7.465782
Gp0006117,46.3262052,7.5722559
Gp0006167,38.012,-118.976
Gp0006168,47.663,9.175
Gp0006215,36.01,-84.263
Gp0006244,44.630844,-110.440292
Gp0006309,28.65,140.82
Gp0006316,40.594649,-7.872571
Gp0006321,44.603028,-110.865194
Gp0006324,36.947098,129.530165
Gp0006325,53.45,8.2
Gp0006340,64.000353,-21.200194
Gp0006354,54.518929,159.975815
Gp0006355,42.406669,-85.40053
Gp0006375,47.393,-119.492
Gp0006380,20.673,-101.354
Gp0006434,-22.663,-66.236
Gp0006462,40.742,-74.172
Gp0006506,41.61,-70.57
Gp0006519,37.16,-3.59
Gp0006533,36.010783,-84.27
Gp0006535,32.42,-104.228
Gp0006536,23.75298511,120.9498753
Gp0006537,37.436,138.838
Gp0006541,58.233,38.12
Gp0006550,37.76854,-25.331441
Gp0006554,-11.941,34.419
Gp0006610,46.9577,-117.0263
Gp0006636,37.774,-122.419
Gp0006641,44.354886,-103.763954
Gp0006642,56.51,82.5
Gp0006650,57.333333,20.05
Gp0006651,44.354886,-103.763954
Gp0006654,-1.944676,36.252237
Gp0006657,57.617655,19.499173
Gp0006677,36.000785,-84.275494
Gp0006680,46.986,8.339
Gp0006695,45.321,60.642
Gp0006703,32.84,-117.258
Gp0006711,44.354886,-103.763954
Gp0006720,50.814788,8.769239
Gp0006753,-33.911276,150.97474
Gp0006754,44.354886,-103.763954
Gp0006755,-12.49,-4.99
Gp0006785,43.2,114.016
Gp0006787,34.69,135.195
Gp0006794,-1.9446,36.2522
Gp0006800,43.916,115.616
Gp0006804,40.853,14.153
Gp0006809,43.916667,115.616667
Gp0007023,78.924,11.955
Gp0007065,35.059529,-98.470459
Gp0007183,50.708,-71.8981
Gp0007230,22.341,114.281
Gp0007260,53.723692,8.172912
Gp0007349,40.776,-119.394
Gp0007350,30.459,-97.838
Gp0007354,37.438682,25.328178
Gp0007389,-31.41,-56
Gp0007391,-41.0335,147.667
Gp0007392,-32.53333,-71.48333
Gp0007393,-34.98,117.96
Gp0007394,36.975,24.743
Gp0007395,-13.65,32.63
Gp0007433,41.526,-70.673
Gp0007434,41.526,-70.673
Gp0007436,-31.799722,18.621111
Gp0007438,37.128333,25.443333
Gp0007469,30.4166,30.333
Gp0007471,43.495921,3.834114
Gp0007537,69.01,20.83
Gp0007747,-22.929194,-42.390149
Gp0007904,59.865,17.63
Gp0007906,32.45,105.843
Gp0007909,39.89,3.09
Gp0007910,33.906602,73.393734
Gp0007938,58.75,48.98
Gp0007940,32.45,105.843
Gp0007941,26.98,47.58
Gp0007942,24.108,117.294
Gp0007945,44.317,87.663
Gp0007946,28.9,48.18
Gp0007947,44.317,87.663
Gp0007960,17.333,76.83
Gp0007978,53.475174,8.223553
Gp0007996,55.6803,12.5714
Gp0007998,1.319,103.853
Gp0007999,33.531,-81.721
Gp0008000,-31.471,115.084
Gp0008151,37.8406,-122.2896
Gp0008245,46.65,8.583
Gp0008286,37.896,-122.25
Gp0008290,45.31,9.5
Gp0008387,37.831,-122.285
Gp0008391,51.251951,7.452031
Gp0008440,34.201,-118.598
Gp0008470,44.479459,-110.649262
Gp0008511,38.451,-84.404
Gp0008663,54.095,159.427
Gp0008664,52.514,6.092
Gp0008801,43.86005,-69.650145
Gp0008852,47.957498,-122.529373
Gp0008854,47.957498,-122.529373
Gp0008860,54.108,159.427
Gp0008935,61.533333,-150.45
Gp0008940,18.268,-65.76
Gp0009015,59.8,17.65
Gp0009016,59.8,17.65
Gp0009017,59.8,17.65
Gp0009018,59.8,17.6
Gp0009104,44.3338,-68.058094
Gp0009358,35.5,139.77
Gp0009476,45.362,11.789
Gp0009580,28.247,-16.639
Gp0009581,-40.355746,175.61219
Gp0009582,36.426,10.09
Gp0009583,37.147182,24.514618
Gp0009584,-31.29,19.3
Gp0009585,-33.68,18.69
Gp0009586,-30.33,17.99
Gp0009587,33.471631,-116.990719
Gp0009588,-29.9125,29.16667
Gp0009598,34.94,138.57
Gp0009606,-22.45,117.99
Gp0009607,-22.45,117.99
Gp0009609,-22.7,-43.7
Gp0009610,38.87997,-77.10677
Gp0009611,-27.35,31.3
Gp0009622,53.9436,-1.0577
Gp0009623,53.9436,-1.0577
Gp0009624,53.9436,-1.0577
Gp0009625,37.445,25.363
Gp0009626,52.02558,8.536262
Gp0009658,51.387638,22.369194
Gp0009659,51.206238,23.2687
Gp0009660,13.16125,32.66342
Gp0009661,22.28889,120.87222
Gp0009662,44.633234,-123.193796
Gp0009663,-30.50714,-57.71
Gp0009718,34.94,138.57
Gp0009723,41.525993,-70.676093
Gp0009730,36.79499,-108.693466
Gp0009734,69.372,88.235
Gp0009735,45.888783,4.605968
Gp0009756,26.27061,73.021177
Gp0009757,26.27061,73.021177
Gp0009758,44.524483,9.874639
Gp0009782,44.524483,9.874639
Gp0009783,-22.254586,166.612297
Gp0009784,4.946111,-52.300833
Gp0009785,4.880833,-52.312778
Gp0009786,-21.014689,164.7411
Gp0009787,-35.13531,142.0262
Gp0009788,-35.32,148.25
Gp0009789,46.422936,60.726814
Gp0009790,42.37,-76.875999
Gp0009803,13.06,80.249
Gp0009812,26.0794,-98.138
Gp0009814,9.1663,79.8248
Gp0009815,9.1663,79.8248
Gp0009816,35.772096,-78.638614
Gp0009817,34.05125493,-111.089437
Gp0009818,40.6331249,-89.3985283
Gp0009838,27.185,33.81
Gp0009846,-22.126355,113.90625
Gp0009847,39.034832,-76.907474
Gp0009848,42.02335,-93.625622
Gp0009849,33.424006,-90.915101
Gp0009850,42.02335,-93.625622
Gp0009851,35.689488,139.6917
Gp0009852,42.02335,-93.625622
Gp0009853,35.689488,139.6917
Gp0009882,22.8,-158
Gp0009883,-12.494833,-4.998667
Gp0009884,-24.77676,113.615112
Gp0009885,-25.639,28.172
Gp0009887,9.2835,-83.8533
Gp0009889,-13.335,132.439
Gp0009890,9.1727,79.8568
Gp0010053,48.747361,6.349354
Gp0010058,-45.53,169.9415
Gp0010088,-40.3167,175.6169
Gp0010089,45.53,169.9415
Gp0010090,-45.864179,170.512551
Gp0010091,-30.50714,-57.701898
Gp0010092,-13.335,132.439
Gp0010127,-31.381,19.3
Gp0010128,-15.6,-47.7
Gp0010129,-11.43,-41.392
Gp0010131,-33.49,18.44
Gp0010132,-11.06,-41.7
Gp0010141,35.893,138.245
Gp0010143,35.893,138.245
Gp0010170,43.608401,3.880033
Gp0010226,-33.394759,115.839844
Gp0010227,-25.443275,113.950195
Gp0010228,39.39902,8.560993
Gp0010229,29.074324,-13.479696
Gp0010230,49.6,11.004467
Gp0010231,-35.1833,142.3833
Gp0010232,37.073806,25.520554
Gp0010236,52.68,1.3
Gp0010237,52.68,1.3
Gp0010238,47.239,5.091
Gp0010239,47.75,1.32
Gp0010240,40.735812,8.559036
Gp0010241,43.61944,122.265737
Gp0010242,-22.724976,-47.6476
Gp0010263,40.4733,25.5222
Gp0010264,40.94412,9.066467
Gp0010265,36.3833,42.45
Gp0010266,-16.785461,145.6857333
Gp0010267,-22.741391,-43.70525
Gp0010268,33.3245,7.99
Gp0010269,29.074324,-13.479696
Gp0010334,38.3912,14.9676
Gp0010430,12.13333,-103.93333
Gp0010603,35.339858,139.491291
Gp0010615,44.354886,-103.763954
Gp0010633,44.354886,-103.763954
Gp0010634,44.354886,-103.763954
Gp0010703,45.08,13.64
Gp0010706,45.08,13.64
Gp0010854,-12.494833,-4.998667
Gp0010875,-12.494833,-4.998667
Gp0011006,44.469,-110.639
Gp0011007,-23.628991,-70.372898
Gp0011009,-12.49,-4.99
Gp0011010,-12.49,-4.99
Gp0011011,22.75,-158
Gp0011012,-12.49,-4.99
Gp0011013,22.75,-158
Gp0011014,22.75,-158
Gp0011015,22.75,-158
Gp0011201,31.392,90.009
Gp0011220,49.566,8.973
Gp0011250,39.49,-0.4
Gp0011291,51.38,-2.35
Gp0011342,49.682207,-124.005217
Gp0011343,49.682207,-124.005217
Gp0011344,49.682207,-124.005217
Gp0011345,49.682207,-124.005217
Gp0011346,49.682207,-124.005217
Gp0011347,49.682207,-124.005217
Gp0011348,49.682207,-124.005217
Gp0011349,49.682207,-124.005217
Gp0011350,49.682207,-124.005217
Gp0011355,25.671667,-100.341667
Gp0011358,40.661433,-119.36625
Gp0011359,40.661433,-119.36625
Gp0011360,40.661433,-119.36625
Gp0011361,40.661433,-119.36625
Gp0011393,49.682207,-124.005217
Gp0011395,49.682207,-124.005217
Gp0011396,49.682207,-124.005217
Gp0011397,49.682207,-124.005217
Gp0011398,49.682207,-124.005217
Gp0011399,49.682207,-124.005217
Gp0011400,49.682207,-124.005217
Gp0011401,49.682207,-124.005217
Gp0011402,40.661433,-119.36625
Gp0011403,40.661433,-119.36625
Gp0011404,49.682207,-124.005217
Gp0011406,49.682207,-124.005217
Gp0011407,49.682207,-124.005217
Gp0011409,49.682207,-124.005217
Gp0011411,49.682207,-124.005217
Gp0011412,49.682207,-124.005217
Gp0011413,49.682207,-124.005217
Gp0011414,49.682207,-124.005217
Gp0011444,56.10555,10.463333
Gp0011448,38.483206,21.321511
Gp0011449,38.483206,21.321511
Gp0011450,38.483206,21.321511
Gp0011451,25.671667,-100.341667
Gp0011452,25.671667,-100.341667
Gp0011453,25.671667,-100.341667
Gp0011454,49.682207,-124.005217
Gp0011455,38.483206,21.321511
Gp0011456,49.682207,-124.005217
Gp0011457,25.671667,-100.341667
Gp0011460,25.671667,-100.341667
Gp0011461,25.671667,-100.341667
Gp0011464,25.671667,-100.341667
Gp0011466,25.671667,-100.341667
Gp0011508,25.671667,-100.341667
Gp0011509,25.671667,-100.341667
Gp0011510,25.671667,-100.341667
Gp0011511,25.671667,-100.341667
Gp0011512,25.671667,-100.341667
Gp0011513,25.671667,-100.341667
Gp0011514,25.671667,-100.341667
Gp0011515,25.671667,-100.341667
Gp0011516,25.671667,-100.341667
Gp0011517,25.671667,-100.341667
